,Title,Url,Date,Summary,Industry
0,Why the US-China Tariff Standoff Hurts American Companies More,/item/why-the-us-china-tariff-standoff-hurts-american-companies,26 Jun 2019,"US exporters have been slashing the prices of goods they sell to China to offset higher trade costs, but Chinese exporters are passing those costs to American companies, research by Alberto F. Cavallo says.Open for comment;  Comment(s) posted.",Mining and Metal
1,Should US Companies Still Care About the Paris Climate Change Agreement?,/item/should-us-companies-still-care-about-the-paris-climate-change-agreement,06 Sep 2018,American President Donald Trump pulled out of the 2015 Paris agreement on climate change one year ago. Vincent Pons discusses what it means for US business leaders in confronting environmental challenges.Open for comment;  Comment(s) posted.,Mining and Metal
2,Op-Ed: The Trouble with Tariffs,/item/op-ed-the-trouble-with-tariffs,12 Apr 2018,"The world's economies are interconnected by globalization, which makes threats of tariff wars doubly dangerous, says Willy Shih.Open for comment;  Comment(s) posted.",Mining and Metal
3,Op-Ed: Trump’s Tariffs Could Harm Allies as Much as Opponents,/item/trump-s-tariffs-could-harm-allies-as-well-as-opponents,02 Mar 2018,"President Trump's duties on steel and aluminum could produce immediate political gain but long-term economic pain for some American industries and global allies, says Dante Roscini.Open for comment;  Comment(s) posted.",Mining and Metal
4,How 'Teaming' Saved 33 Lives in the Chilean Mining Disaster,/item/how-teaming-saved-33-lives-in-the-chilean-mining-disaster,29 Jan 2018,"Teams composed of people from across expertise areas can create solutions beyond what any one agency can deliver, says Amy Edmondson. Just ask several dozen Chilean workers rescued from a mine collapse.Open for comment;  Comment(s) posted.",Mining and Metal
5,Should Industry Competitors Cooperate More  to Solve World Problems?,/item/should-industries-forgo-competition-to-solve-the-world-s-biggest-problems,28 Aug 2017,"George Serafeim has a theory that if industry competitors collaborated more, big world problems could start to be addressed. Is that even possible in a market economy?Open for comment;  Comment(s) posted.",Mining and Metal
6,Where Do Workers Go When the Robots Arrive?,/item/where-do-workers-go-when-robots-arrive,06 Apr 2020,Marco Tabellini and colleagues investigate where workers go after losing their jobs to automation and Chinese imports.Open for comment; 1 Comment(s) posted.,Manufacturing
7,China-based Fuyao Glass Considers Manufacturing in the US,/item/china-based-fuyao-glass-considers-manufacturing-in-the-us,21 Jan 2020,"Not many Chinese companies open manufacturing facilities in the US, but automotive glass maker Fuyao is considering just that. In a recent case study, Willy Shih examines factors that go into deciding where companies should locate production centers.Open for comment; 1 Comment(s) posted.",Manufacturing
8,Solving the Riddle of How Companies Grow Over Time,/item/solving-the-riddle-of-how-companies-grow-over-time,20 Sep 2019,"Can company growth rates persist over long periods of time? A new study of long-lasting enterprises might make CEOs rethink their strategies, says Gary Pisano.Open for comment; 5 Comment(s) posted.",Manufacturing
9,Field-Level Paradox and the Co-Evolution of an Entrepreneurial Vision,/item/field-level-paradox-and-the-co-evolution-of-an-entrepreneurial-vision,06 Aug 2019,"Swiss watchmaking embodies the classic strategic paradox created by the introduction of new technology: the choice between resisting and defending, or embracing and prospecting. This paper offers a model for how fields and organizational leaders experiencing similar paradoxes can adapt to environmental change while still preserving valuable aspects of their past success.",Manufacturing
