,Title,Url,Date,Summary,Industry
0,"
                                                QuEST Global Partners with Canon IT Solutions for Enterprise Solution...
                                            ",https://www.aerospacedefensereview.com/news/quest-global-partners-with-canon-it-solutions-for-enterprise-solution-platform-nwid-456.html,"Thursday, October 01,2020",,Aerospace and Defence
1,"
                                                Kepler Launches First Internally Produced GEN1 Satellite
                                            ",https://www.aerospacedefensereview.com/news/kepler-launches-first-internally-produced-gen1-satellite-nwid-454.html,"Wednesday, September 30,2020",,Aerospace and Defence
2,"
                                                Drones and AI Preferred by U.S. Navy to Monitor Rusting Issues
                                            ",https://www.aerospacedefensereview.com/news/drones-and-ai-preferred-by-us-navy-to-monitor-rusting-issues-nwid-455.html,"Wednesday, September 30,2020",,Aerospace and Defence
3,"
                                                AFWERX Declares USNC-Tech Selected to Exhibit at EngageSpace
                                            ",https://www.aerospacedefensereview.com/news/afwerx-declares-usnctech-selected-to-exhibit-at-engagespace-nwid-453.html,"Tuesday, September 29,2020",,Aerospace and Defence
4," 
                                                    Dynetics Lunar Lander to Use in-Space Refueling Tech",https://www.aerospacedefensereview.com/news/dynetics-lunar-lander-to-use-inspace-refueling-tech-nwid-450.html,"Monday, September 28,2020",,Aerospace and Defence
5," 
                                                    Air Force Awards Cyber Resiliency Contract to Cybersecurity Firm Shift5",https://www.aerospacedefensereview.com/news/air-force-awards-cyber-resiliency-contract-to-cybersecurity-firm-shift5-nwid-451.html,"Monday, September 28,2020",,Aerospace and Defence
6," 
                                                    New Aerial Surveillance Abilities with IMSAR's NSP-7 Synthetic Aperture...",https://www.aerospacedefensereview.com/news/new-aerial-surveillance-abilities-with-imsar-s-nsp7-synthetic-aperture-radar-on-a-primoco-uav-one-150-nwid-452.html,"Monday, September 28,2020",,Aerospace and Defence
7," 
                                                    Key Trends in the Defense Industry",https://www.aerospacedefensereview.com/news/key-trends-in-the-defense-industry-nwid-449.html,"Friday, September 25,2020",,Aerospace and Defence
8,L3Harris Technologies Receives $119 Million Space Force Contract for GEODSS,https://www.aerospacedefensereview.com/news/l3harris-technologies-receives-119-million-space-force-contract-for-geodss-nwid-448.html,"
                                                Thursday, September 24,2020
                                                                ",,Aerospace and Defence
9,"Mohammed Farooq Joins Hypergiant Industries Board of Directors and GM,...",https://www.aerospacedefensereview.com/news/mohammed-farooq-joins-hypergiant-industries-board-of-directors-and-gm-products-and-global-chief-technology-officer-pnid-6.html,"
                                                Wednesday, September 23,2020
                                                                ",,Aerospace and Defence
10,NASA Selects Ball Aerospace for Three Studies to Develop Sustainable...,https://www.aerospacedefensereview.com/news/nasa-selects-ball-aerospace-for-three-studies-to-develop-sustainable-land-imaging-technologies-nwid-447.html,"
                                                Tuesday, September 22,2020
                                                                ",,Aerospace and Defence
11,COMSAT Signs New Distribution Agreement with Orbit Communications Systems,https://www.aerospacedefensereview.com/news/comsat-signs-new-distribution-agreement-with-orbit-communications-systems-nwid-446.html,"
                                                Friday, September 18,2020
                                                                ",,Aerospace and Defence
12,"
                                                Wheels Up Brings Safe Passage Program with Enhanced Safety and Health...
                                            ",https://www.aerospacedefensereview.com/news/wheels-up-brings-safe-passage-program-with-enhanced-safety-and-health-guidelines-nwid-445.html,"Thursday, September 17,2020",,Aerospace and Defence
13,"
                                                University of Colorado Boulder and Lockheed Martin to Lead New Space...
                                            ",https://www.aerospacedefensereview.com/news/university-of-colorado-boulder-and-lockheed-martin-to-lead-new-space-mission-nwid-444.html,"Tuesday, September 15,2020",,Aerospace and Defence
14,"
                                                U.S. Military Takes over Former NOAA Satellite for Coverage over Indian...
                                            ",https://www.aerospacedefensereview.com/news/us-military-takes-over-former-noaa-satellite-for-coverage-over-indian-ocean-nwid-443.html,"Monday, September 14,2020",,Aerospace and Defence
15,"
                                                Navy Plans to Build Ship Equipped with Edge Cloud Future Combat System
                                            ",https://www.aerospacedefensereview.com/news/navy-plans-to-build-ship-equipped-with-edge-cloud-future-combat-system-nwid-442.html,"Friday, September 11,2020",,Aerospace and Defence
16," 
                                                    Astroscale UK Appoints Sharon Parker-Lines as Operations Director",https://www.aerospacedefensereview.com/news/astroscale-uk-appoints-sharon-parkerlines-as-operations-director-pnid-5.html,"Wednesday, September 09,2020",,Aerospace and Defence
