,Title,Url,Date,Summary,Industry
0,Silencing whistle-blowers on farms conceals animal and employee abuse,https://theconversation.com/silencing-whistle-blowers-on-farms-conceals-animal-and-employee-abuse-141921,"July 8, 2020","
What are known as 'ag-gag' laws impede the transparency Canadians expect from farms and food-production facilities, particularly dangerous in the COVID-19 period.
",Agriculture and Agribusiness
1,Puppies & burnout: The economic impact of the coronavirus on vets,https://theconversation.com/puppies-and-burnout-the-economic-impact-of-the-coronavirus-on-vets-141964,"July 6, 2020","
Veterinarians are already at risk of emotional distress and burnout. The experiences of an Alberta veterinary practice shows COVID-19 is having a further impact.
",Agriculture and Agribusiness
2,Rethinking the boundaries between economic life and coronavirus death,https://theconversation.com/rethinking-the-boundaries-between-economic-life-and-coronavirus-death-140120,"July 5, 2020","
COVID-19 has proven that prioritizing the economy over the lives of the poorest and most vulnerable should never be an acceptable fix to economic woes.
",Agriculture and Agribusiness
3,Why Ghana’s smallholders aren’t excited by the latest ‘Green Revolution’,https://theconversation.com/why-ghanas-smallholders-arent-excited-by-the-latest-green-revolution-134804,"April 13, 2020","
And why development funders should listen to smallholder farmers
",Agriculture and Agribusiness
4,Australia’s drought relief package hits the political spot but misses the bigger point,https://theconversation.com/australias-drought-relief-package-hits-the-political-spot-but-misses-the-bigger-point-126583,"November 7, 2019","
The question in drought relief is this: do we want more or fewer people to be involved in a farming activity that is vulnerable to drought?
",Agriculture and Agribusiness
5,"For a sustainable future, we need to reconnect with what we’re eating – and each other",https://theconversation.com/for-a-sustainable-future-we-need-to-reconnect-with-what-were-eating-and-each-other-123490,"November 4, 2019","
These inspirational food sharing initiatives around the world demonstrate that sustainable food system can – and should – be democratic.
",Agriculture and Agribusiness
6,Amazon in flames: Brazil’s Huni Kuin indigenous people count the social costs of fire and conflict,https://theconversation.com/amazon-in-flames-brazils-huni-kuin-indigenous-people-count-the-social-costs-of-fire-and-conflict-122587,"September 2, 2019","
Huwã Karu Yuxibu, the cultural centre of the Huni Kuin indigenous group in the Amazonian state of Acre, was destroyed by fire in August.
",Agriculture and Agribusiness
7,A sharing economy for plants: Seed libraries are sprouting up,https://theconversation.com/a-sharing-economy-for-plants-seed-libraries-are-sprouting-up-106432,"November 23, 2018","
Sharing seeds was common practice among farmers throughout history until the rise of agribusiness. Now seeds are trademarked and regulated, but there's a new place to get them for free: the library.
",Agriculture and Agribusiness
8,How changing your diet could save animals from extinction,https://theconversation.com/how-changing-your-diet-could-save-animals-from-extinction-81061,"July 18, 2017","
As much as one-third of animal species in the tropics could be eradicated if their habitats continue to be converted for monoculture farming. We can all do something to make a difference.
",Agriculture and Agribusiness
9,Growing food in the post-truth era,https://theconversation.com/growing-food-in-the-post-truth-era-78256,"June 30, 2017","
The global food system has been operating in post-truth mode for decades.
",Agriculture and Agribusiness
10,Okja: a film that provides food for thought on ‘sustainable’ meat production,https://theconversation.com/okja-a-film-that-provides-food-for-thought-on-sustainable-meat-production-80088,"June 28, 2017","
Netflix's new film is a timely intervention into discussions on whether it can ever be ethically sound to eat meat.
",Agriculture and Agribusiness
11,The pros and cons of commercial farming models in Africa,https://theconversation.com/the-pros-and-cons-of-commercial-farming-models-in-africa-76355,"May 23, 2017","
Many African countries are still searching for inclusive commercial farming models that can bring in private investment without dispossessing local people.
",Agriculture and Agribusiness
12,Lettuce in February: the hidden cost of buying fresh vegetables all year round,https://theconversation.com/lettuce-in-february-the-hidden-cost-of-buying-fresh-vegetables-all-year-round-72445,"February 6, 2017","
Getting food on to our plates out of season relies on a fragile business ecosystem. The latest shortages show how easily this can break down.
",Agriculture and Agribusiness
