,Title,Url,Date,Summary,Industry
0,"
				Engineered honeybee gut bacteria trick attackers into self-destructing			",https://www.sciencenews.org/article/engineered-honeybee-gut-bacteria-trick-attackers-self-destructing,"January 30, 2020","
				Tailored microbes defend bees with a gene-silencing process called RNA interference that takes on viruses or mites.			",Agriculture and Agribusiness
1,"
				Can forensics help keep endangered rosewood off the black market?			",https://www.sciencenews.org/article/rosewood-forensics-fight-wildlife-trafficking-black-market-furniture,"November 3, 2019","
				Timber traffickers are plundering the world’s forests, but conservationists have a new set of tools to fight deforestation. 			",Agriculture and Agribusiness
2,"
				Too much groundwater pumping is draining many of the world’s rivers			",https://www.sciencenews.org/article/too-much-groundwater-pumping-draining-many-earth-rivers,"October 9, 2019","
				Too much groundwater use could push over half of pumped watersheds past an ecological tipping point by 2050, compromising aquatic ecosystems worldwide. 			",Agriculture and Agribusiness
3,"
				Birds fed a common pesticide lost weight rapidly and had migration delays			",https://www.sciencenews.org/article/birds-neonicotinoid-pesticides-farming-migration-delays,"September 12, 2019","
				Scientists have previously implicated neonicotinoid pesticides in declining bee populations. Now a study suggests that songbirds are affected, too.			",Agriculture and Agribusiness
4,"
				U.S. honeybees had the worst winter die-off in more than a decade			",https://www.sciencenews.org/article/us-honeybees-had-worst-winter-die-more-decade,"June 20, 2019","
				Colonies suffered from parasitic, disease-spreading Varroa mites. Floods and fire didn’t help.			",Agriculture and Agribusiness
5,"
				The U.S. is still using many pesticides that are banned in other countries			",https://www.sciencenews.org/article/united-states-pesticides-banned-other-countries,"June 10, 2019","
				In 2016, the United States used millions of kilograms of pesticides that are banned or being phased out in the European Union, Brazil and China. 			",Agriculture and Agribusiness
6,"
				Can Silicon Valley entrepreneurs make crickets the next chicken?			",https://www.sciencenews.org/article/silicon-valley-entrepreneurs-insect-cricket-farming-food-agriculture,"May 2, 2019","
				Entrepreneurs are bringing automation and data analysis to insect agriculture to build a profitable business that helps feed the planet. 			",Agriculture and Agribusiness
7,"
				A major crop pest can make tomato plants lie to their neighbors			",https://www.sciencenews.org/article/major-crop-pest-can-make-tomato-plants-lie-their-neighbors,"April 4, 2019","
				Insects called silverleaf whiteflies exploit tomatoes’ ability to detect damage caused to nearby plants. 			",Agriculture and Agribusiness
8,"
				Prosecco production takes a toll on northeast Italy’s environment			",https://www.sciencenews.org/article/prosecco-production-toll-northeast-italy-soil-environment,"January 18, 2019","
				The soil in Northern Italy’s prosecco vineyards is washing away.			",Agriculture and Agribusiness
9,"
				This honeybee parasite may be more of a fat stealer than a bloodsucker			",https://www.sciencenews.org/article/honeybee-parasite-may-be-more-fat-stealer-bloodsucker,"January 18, 2019","
				Inventing decoy bee larvae prompts a back-to-basics rethink of a mite ominously named Varroa destructor.			",Agriculture and Agribusiness
10,"
				A new way to genetically tweak photosynthesis boosts plant growth			",https://www.sciencenews.org/article/new-way-genetically-tweak-photosynthesis-boosts-plant-growth,"January 3, 2019","
				A new chemical road map for a process called photorespiration in plant cells could reduce energy waste to increase plant productivity.  			",Agriculture and Agribusiness
11,"
				50 years ago, screwworm flies inspired a new approach to insect control			",https://www.sciencenews.org/article/screwworm-flies-sterilization-insect-control,"November 23, 2018","
				The United States has wiped out screwworm flies repeatedly since 1966 using the sterile male eradication technique.			",Agriculture and Agribusiness
12,"
				Hemp fields offer a late-season pollen source for stressed bees			",https://www.sciencenews.org/article/cannabis-fields-offer-late-season-pollen-source-stressed-bees,"November 19, 2018","
				Colorado’s legal fields of low-THC cannabis can attract a lot of bees.			",Agriculture and Agribusiness
13,"
				Plants engineered to always be on alert don’t grow well			",https://www.sciencenews.org/article/plants-engineered-always-be-alert-do-not-grow-well,"October 22, 2018","
				Scientists bred a type of weed to lack proteins that help stem the production of bitter chemicals used to ward off insect attacks. 			",Agriculture and Agribusiness
14,"
				Add beer to the list of foods threatened by climate change			",https://www.sciencenews.org/article/add-beer-list-foods-threatened-climate-change,"October 15, 2018","
				Barley crops around the world will be threatened by drought and heat.			",Agriculture and Agribusiness
15,"
				Can science build a better burger?			",https://www.sciencenews.org/article/can-science-build-better-burger,"September 20, 2018","
				Researchers hope to replace whole animal agriculture and feed the world with lab-made meats or plants.			",Agriculture and Agribusiness
16,"
				A new map reveals the causes of forest loss worldwide			",https://www.sciencenews.org/article/new-map-reveals-causes-forest-loss-worldwide,"September 13, 2018","
				A new study shows where global forest loss is due to permanent deforestation versus short-term shifts in land use. 			",Agriculture and Agribusiness
17,"
				How plant microbes could feed the world and save endangered species			",https://www.sciencenews.org/article/plant-microbes-crops-food-endangered-species,"September 6, 2018","
				Scientists have only scratched the surface of the plant microbiome, but they already believe it might increase crop yield and save species from extinction.			",Agriculture and Agribusiness
18,"
				As temperatures rise, so do insects’ appetites for corn, rice and wheat			",https://www.sciencenews.org/article/temperatures-insects-appetites-crop-damage-global-warming,"August 31, 2018","
				Hotter, hungrier pests likely to do 10 percent to 25 percent more damage to grains for each warmer degree.			",Agriculture and Agribusiness
19,"
				As algae blooms increase, scientists seek better ways to predict these toxic tides			",https://www.sciencenews.org/article/forecasting-toxic-algae-blooms,"August 28, 2018","
				Scientists around the United States are developing programs that can predict harmful algal blooms in advance.			",Agriculture and Agribusiness
20,"
				Why humans, and Big Macs, depend on bees			",https://www.sciencenews.org/article/why-humans-and-big-macs-depend-bees,"July 8, 2018","
				Thor Hanson, the author of Buzz, explains the vital role bees play in our world. 			",Agriculture and Agribusiness
