,Title,Url,Date,Summary,Industry
0,"“Location data at the very beginning of its journey,” says HERE CEO",https://www.automotiveworld.com/articles/location-data-at-the-very-beginning-of-its-journey-says-here-ceo/,"October 8, 2020",Edzard Overbeek explores some of the more promising markets and use cases for location data. By Megan Lampinen,Automotive and Assembly
1,Tech alone not enough to realise a Vision Zero future for trucking,https://www.automotiveworld.com/articles/tech-alone-not-enough-to-realise-a-vision-zero-future-for-trucking/,"October 8, 2020","Clear regulatory guidance, continued development and a safety-first culture will be critical in realising Vision Zero, say industry groups. By Jack Hunsley",Automotive and Assembly
2,US-wide autonomous trucking network in TuSimple’s sights,https://www.automotiveworld.com/articles/us-wide-autonomous-trucking-network-in-tusimples-sights/,"October 8, 2020","Via its Autonomous Freight Network, the unicorn aims to cover the entire US by 2024. By Jack Hunsley",Automotive and Assembly
3,Vision Zero trucking must address vulnerable road users and underrides,https://www.automotiveworld.com/articles/vision-zero-trucking-must-address-vulnerable-road-users-and-underrides/,"October 7, 2020","Truck crash testing has produced safe cabins for drivers, but for Vision Zero, the goal must also be to protect other road users. By Xavier Boucherat",Automotive and Assembly
4,Connected car features to erase many current pain points,https://www.automotiveworld.com/articles/connected-car-features-to-erase-many-current-pain-points/,"October 7, 2020",Nick Mavrokordatos explores how connected transport is creating great changes both inside vehicles and on the roadways,Automotive and Assembly
5,Combining efficiency with safety will encourage Vision Zero fleet adoption,https://www.automotiveworld.com/articles/combining-efficiency-with-safety-will-encourage-vision-zero-fleet-adoption/,"October 6, 2020",Leveraging efficiency gains can make safety-first investment more viable. By Jack Hunsley,Automotive and Assembly
6,Truck sector calls for “widespread adoption” of crash avoidance technology,https://www.automotiveworld.com/articles/truck-sector-calls-for-widespread-adoption-of-crash-avoidance-technology/,"October 6, 2020","Regulation may be needed to ensure proven technologies enter new trucks, but lingering concerns around driving behaviour will be harder to fix. By Freddie Holmes",Automotive and Assembly
7,Talent development pivotal to realising the future of mobility,https://www.automotiveworld.com/articles/talent-development-pivotal-to-realising-the-future-of-mobility/,"October 6, 2020","SEAT targets employee training as the cornerstone of its electric transformation, writes Megan Lampinen",Automotive and Assembly
8,"For truckmakers, Vision Zero is a lifetime project without a finish line",https://www.automotiveworld.com/articles/for-truckmakers-vision-zero-is-a-lifetime-project-without-a-finish-line/,"October 5, 2020","In making deaths and serious injuries a thing of the past, the major manufacturers must remember that the journey is the destination. By Xavier Boucherat",Automotive and Assembly
9,Is Vision Zero achievable in trucking?,https://www.automotiveworld.com/articles/is-vision-zero-achievable-in-trucking/,"October 5, 2020","Autonomy and connectivity hold huge safety potential, but only if used correctly and responsibly. By Jack Hunsley, Freddie Holmes & Xavier Boucherat",Automotive and Assembly
10,CASE and COVID reshape the future of project management,https://www.automotiveworld.com/articles/case-and-covid-reshape-the-future-of-project-management/,"October 5, 2020",Jama Software shares its contribution to managing increasingly complex development projects. By Megan Lampinen,Automotive and Assembly
11,"Autonomous cars low on a hacker’s hit list, for now",https://www.automotiveworld.com/articles/autonomous-cars-low-on-a-hackers-hit-list-for-now/,"October 2, 2020","With bigger bounties available elsewhere, it is unclear exactly whether it is worth a hacker’s time and money to crack an autonomous vehicle. By Freddie Holmes",Automotive and Assembly
12,Outgoing CEO says Scania is well placed for Russian recovery,https://www.automotiveworld.com/articles/interview-wojciech-rowinski-managing-director-scania-rus-llc/,"October 2, 2020","Russia’s truck market has proven resilient during past crises, but how has it handled the COVID-19 pandemic? By Freddie Holmes",Automotive and Assembly
13,Consistent regulatory approach key for Europe’s AV development,https://www.automotiveworld.com/articles/consistent-regulatory-approach-key-for-europes-av-development/,"October 1, 2020",Legislative goals and regulatory oversights across agencies must be aligned in order to realise the full benefits of autonomous driving. By Jack Hunsley,Automotive and Assembly
14,Network security responsibility falls on all AV stakeholders,https://www.automotiveworld.com/articles/network-security-responsibility-falls-on-all-av-stakeholders/,"October 1, 2020","In an interconnected autonomous future, any weak link in the IoT chain poses worrying cyber risks. By Jack Hunsley",Automotive and Assembly
15,COMMENT: Dealers must adapt in-store communications post-COVID,https://www.automotiveworld.com/articles/comment-dealers-must-adapt-in-store-communications-post-covid/,"October 1, 2020","The power of in-store signage shouldn't be underestimated in this new post-pandemic era, writes Javier Lopez",Automotive and Assembly
16,"Attacks on AVs are possible, and the threat grows with time",https://www.automotiveworld.com/articles/attacks-on-avs-are-possible-and-the-threat-grows-with-time/,"September 30, 2020","Research hacks on vehicles have shown what’s possible. The industry is taking action, but automated testing will be essential to make AVs roadworthy. By Xavier Boucherat",Automotive and Assembly
17,Connected and autonomous mobility to rewrite data storage rules,https://www.automotiveworld.com/articles/connected-and-autonomous-mobility-to-rewrite-data-storage-rules/,"September 30, 2020",Western Digital offers its perspective on the changing requirements of data storage in automotive applications. By Megan Lampinen,Automotive and Assembly
18,Cyber security experts urge proactive and united AV measures,https://www.automotiveworld.com/articles/cyber-security-experts-urge-proactive-and-united-av-measures/,"September 29, 2020",It’s time for the automotive industry to fully recognise the cyber threats presented by the autonomous vehicle. By Jack Hunsley,Automotive and Assembly
19,Regulators favour flexibility over force with AV cyber security,https://www.automotiveworld.com/articles/regulators-favour-flexibility-over-force-with-av-cyber-security/,"September 29, 2020","As the automotive industry enters a new age of vehicle safety, are best practices enough to protect against cyber threats? By Freddie Holmes",Automotive and Assembly
