,Title,Url,Date,Summary,Industry
0,"
            Advanced Petrochemical JV with SK Gas adds IPA plant to Jubail complex plans
        ",https://chemweek.com/CW/Document/114478/Advanced-Petrochemical-JV-with-SK-Gas-adds-IPA-plant-to-Jubail-complex-plans,"
                        08 Oct 2020
                    ","<p class=""ng-binding"">70,000-metric tons/year IPA facility added to PDH/PP plant plans; $80-million investment in addition to $1.8 billion total estimated cost of complex in Saudi Arabia.</p>",Chemicals
1,"
            OMV's petchem margin declines, refining margins tank
        ",https://chemweek.com/CW/Document/114476/OMVs-petchem-margin-declines-refining-margins-tank,"
                        08 Oct 2020
                    ","<p class=""ng-binding"">Ethylene/propylene net margin in third quarter down 15% YOY; refining margin plunges 85% YOY.</p>",Chemicals
2,"
            Shrieve buys styrene business, assets from CLP Chemicals
        ",https://chemweek.com/CW/Document/114472/Shrieve-buys-styrene-business-assets-from-CLP-Chemicals,"
                        08 Oct 2020
                    ","<p class=""ng-binding"">Acquisition will expand Shrieve's product portfolio to serve growing demand for specialty chemicals.</p>",Chemicals
3,"
            Hurricane Delta to reach northern USGC Friday
        ",https://chemweek.com/CW/Document/114467/Hurricane-Delta-to-reach-northern-USGC-Friday,"
                        07 Oct 2020
                    ","<p class=""ng-binding"">The National Hurricane Center has placed the coast between High Island, Texas, and Grand Isle, Louisiana, on hurricane watch.</p>",Chemicals
4,"
            US weekly propane/propylene stocks drop
        ",https://chemweek.com/CW/Document/114454/US-weekly-propanepropylene-stocks-drop,"
                        07 Oct 2020
                    ","<p class=""ng-binding"">Product supplied for propane and propylene, an indicator of implied  demand, climbed 584,000 b/d on the week to 1.199 million b/d.</p>",Chemicals
5,"
            European chlorine output falls in August, stocks of caustic soda rise 
        ",https://chemweek.com/CW/Document/114451/European-chlorine-output-falls-in-August-stocks-of-caustic-soda-rise,"
                        07 Oct 2020
                    ","<p class=""ng-binding"">YOY decline of 7.5% in chlorine production to 768,719 metric tons; capacity utilization falls over 7% YOY to 78.1%.</p>",Chemicals
6,"
            Benzene–naphtha spread flips negative in Europe on weak supply/demand balance
        ",https://chemweek.com/CW/Document/114448/Benzenenaphtha-spread-flips-negative-in-Europe-on-weak-supplydemand-balance,"
                        07 Oct 2020
                    ","<p class=""ng-binding"">Feedstock naphtha values rising amid healthy demand since September; first negative spot price benzene-naphtha spread since November 2011.</p>",Chemicals
7,"
            Celanese moves to secure sustainability of acetate tow business, hikes prices 
        ",https://chemweek.com/CW/Document/114447/Celanese-moves-to-secure-sustainability-of-acetate-tow-business-hikes-prices,"
                        07 Oct 2020
                    ","<p class=""ng-binding"">Says global price rise is paramount to offset declines, aid in securing sustainability of its acetate tow business.</p>",Chemicals
8,"
            Hengli Petrochemical invests $1.6 billion to build PTA units at Huizhou, China (Update, adds IHS Markit comment)
        ",https://chemweek.com/CW/Document/114396/Hengli-Petrochemical-invests-$16-billion-to-build-PTA-units-at-Huizhou-China-Update-adds-IHS-Markit-comment,"
                        07 Oct 2020
                    ","<p class=""ng-binding"">Two planned PTA units at the Daya Bay petrochemical park will have a combined capacity of 5 MMt/y.</p>",Chemicals
9,"
            Cracker operators in Asia to slash LPG use in November to lowest level this year 
        ",https://chemweek.com/CW/Document/114446/Cracker-operators-in-Asia-to-slash-LPG-use-in-November-to-lowest-level-this-year,"
                        07 Oct 2020
                    ","<p class=""ng-binding"">Naphtha demand to grow in coming months; Asian naphtha crack rises to three-month high.</p>",Chemicals
10,"
            EPCA 2020: Supply-chain firms show resilience, aim to build stability
        ",https://chemweek.com/CW/Document/114445/EPCA-2020-Supply-chain-firms-show-resilience-aim-to-build-stability,"
                        06 Oct 2020
                    ","<p class=""ng-binding"">Logistics providers have been agile and innovative in response to COVID-19 and plan to incorporate recent improvements into their supply chains.</p>",Chemicals
11,"
            IHS Markit webinar: Opportunities and risks for the chemical industry in a post-pandemic world
        ",https://chemweek.com/CW/Document/114434/IHS-Markit-webinar-Opportunities-and-risks-for-the-chemical-industry-in-a-post-pandemic-world,"
                        06 Oct 2020
                    ","<p class=""ng-binding"">Executive briefing, held in a virtual format on the occasion of the EPCA annual meeting, addressed current overcapacity, eventual recovery.</p>",Chemicals
12,"
            GPCA shifts annual forum to February
        ",https://chemweek.com/CW/Document/114430/GPCA-shifts-annual-forum-to-February,"
                        06 Oct 2020
                    ","<p class=""ng-binding"">Forum postponed to 10–11 February; all precautions to be in place for attendees in Dubai.</p>",Chemicals
13,"
            Lummus to supply ethylene furnaces for Uzbekistan gas chemical complex
        ",https://chemweek.com/CW/Document/114428/Lummus-to-supply-ethylene-furnaces-for-Uzbekistan-gas-chemical-complex,"
                        06 Oct 2020
                    ","<p class=""ng-binding"">Will supply four proprietary short residence time cracking furnaces for planned expansion of Shurtan processing complex.</p>",Chemicals
14,"
            Contract price for European toluene falls 7% in October on slowing demand 
        ",https://chemweek.com/CW/Document/114427/Contract-price-for-European-toluene-falls-7-in-October-on-slowing-demand,"
                        06 Oct 2020
                    ","<p class=""ng-binding"">Weaker chemicals demand due to COVID-19's ongoing impact on downstream sectors such as TDI.</p>",Chemicals
15,"
            October contract price for styrene in Europe falls for second month on weak demand
        ",https://chemweek.com/CW/Document/114426/October-contract-price-for-styrene-in-Europe-falls-for-second-month-on-weak-demand,"
                        06 Oct 2020
                    ","<p class=""ng-binding"">Reflects well-supplied market, seasonably quieter demand period for downstream derivatives such as EPS, ABS, underscored by COVID-19 impact.</p>",Chemicals
16,"
            Ascend increases prices for intermediates 
        ",https://chemweek.com/CW/Document/114425/Ascend-increases-prices-for-intermediates,"
                        06 Oct 2020
                    ","<p class=""ng-binding"">Rise in prices for ADN, HMDA, acrylonitrile, adipic acid follows previous increase for same products in September.</p>",Chemicals
17,"
            K+S signs $3.2-billion deal to sell its Americas salt business to Stone Canyon
        ",https://chemweek.com/CW/Document/114423/KS-signs-$32-billion-deal-to-sell-its-Americas-salt-business-to-Stone-Canyon,"
                        06 Oct 2020
                    ","<p class=""ng-binding"">Talks on potential deal were confirmed Monday, contract of sale signed shortly after, transaction to be completed by summer 2021.</p>",Chemicals
18,"
            Gujarat State Fertilizers & Chemicals to manufacture calcium nitrate
        ",https://chemweek.com/CW/Document/114421/Gujarat-State-Fertilizers-Chemicals-to-manufacture-calcium-nitrate,"
                        06 Oct 2020
                    ","<p class=""ng-binding"">India currently imports all its CN requirements.</p>",Chemicals
19,"
            EPCA 2020: Lessons learned from COVID-19 can boost industry recovery 
        ",https://chemweek.com/CW/Document/114418/EPCA-2020-Lessons-learned-from-COVID-19-can-boost-industry-recovery,"
                        05 Oct 2020
                    ","<p class=""ng-binding"">Heads of Total and Shell petrochemical businesses identify sustainability as part of the rebuilding process.</p>",Chemicals
20,"
            EPCA 2020: Pandemic accelerates industry trends
        ",https://chemweek.com/CW/Document/114405/EPCA-2020-Pandemic-accelerates-industry-trends,"
                        05 Oct 2020
                    ","<p class=""ng-binding"">Leaders of BASF, Dow tell virtual meeting that the crisis has magnified structural challenges, intensified sustainability agenda.</p>",Chemicals
21,"
            Port of Antwerp launches search for investors in circular economy hub focused on chemicals sector 
        ",https://chemweek.com/CW/Document/114401/Port-of-Antwerp-launches-search-for-investors-in-circular-economy-hub-focused-on-chemicals-sector,"
                        05 Oct 2020
                    ","<p class=""ng-binding"">Former General Motors site will be pitched at participants with core activities mainly in chemical processing and manufacturing.</p>",Chemicals
22,"
            Yara, wind-power firm plan electrolyzer to produce renewable hydrogen in Netherlands
        ",https://chemweek.com/CW/Document/114400/Yara-wind-power-firm-plan-electrolyzer-to-produce-renewable-hydrogen-in-Netherlands,"
                        05 Oct 2020
                    ","<p class=""ng-binding"">The plant, which requires public co-funding, would supply Yara's ammonia facility at Sluiskil.</p>",Chemicals
23,"
            K+S in advanced talks on $3.2-billion sale of Americas business unit
        ",https://chemweek.com/CW/Document/114398/KS-in-advanced-talks-on-$32-billion-sale-of-Americas-business-unit,"
                        05 Oct 2020
                    ","<p class=""ng-binding"">In ""very advanced negotiations"" with Stone Canyon Industrie Holdings over sale; expected purchase price is $3.2 billion.</p>",Chemicals
