,Title,Url,Date,Summary,Industry
0,Raspberry Pi STEM design competition for young people in the UK,https://www.electronicsweekly.com/news/design/raspberry-pi-stem-design-competition-young-people-uk-2020-10/,8th October 2020,"PA Consulting has launched its ninth UK Raspberry Pi competition for young people in various age groups, in parallel with its third competition in the Netherlands. The competition promotes STEM education by challenging schoolchildren to invent products and processes that could benefit society using their technology and coding skills. This year’s competition asks students to help create a positive future ...",Electroncs
1,More on: Maxim’s AI chip for battery-powered products also adds Risc-V,https://www.electronicsweekly.com/news/products/micros/maxims-ai-chip-battery-powered-products-also-adds-risc-v-2020-10/,8th October 2020,"Earlier today, Maxim announced an AI processing chip for battery-powered devices needing convolutional neural networks (CNNs). What the company has done, is to put custom CNN processing hardware alongside a conventional 100MHz Arm Cortex-M4F core – this is the floating point M4 – and squeezed in the added surprise of a 60MHz 32Bit Risc-V core for low power signal processing – ...",Electroncs
2,"EW BrightSpark 2020, In the spotlight: Yanislav Donchev, University of Southampton",https://www.electronicsweekly.com/news/ew-brightsparks/ew-brightspark-2020-profile-2020-10/,8th October 2020,"Now in its fourth year, the EW BrightSparks programme sees Electronics Weekly partner with RS Components to highlight the brightest and most talented young electronic engineers in the UK today. It was back in the summer that we first announced the class of 2020, but we also want to put the spotlight again on the individual winners. Today, taking it ...",Electroncs
3,element14’s Halloween project,https://www.electronicsweekly.com/news/business/element14s-halloween-project-2020-10/,8th October 2020,"Halloween is expected to be very different this year.  The prospect of walking from door-to-door has become for many a daunting, if not, dangerous affair. To reflect the current situation, the element14 Community’s annual Halloween project has taken a different twist. Members are asked to build a socially distant and COVID-19 safe Halloween project and blog about it on the ...",Electroncs
4,How CRISPR-Cas gene editing works,https://www.electronicsweekly.com/news/business/crispr-gene-editing-works-2020-10/,8th October 2020,"This year’s Nobel Prize for Chemistry was won by Emmanuelle Charpentier and Jennifer A. Doudna for their development of CRISPR-Cas9 – a method for genome editing. An animation of how CRISPR-Cas works, approved by the two Laureates, has been created by Visual Science and Skoltech. Here it is: Here are the Laureates’ comments on the animation: “Molecular animations are an ...",Electroncs
5,LaSAR Alliance formed,https://www.electronicsweekly.com/news/business/758186-2020-10/,8th October 2020,"The LaSAR Alliance (Laser Scanning for Augmented Reality) has been formed to develop and accelerate Augmented Reality (AR) smart-glass products. Founding members in the LaSAR Alliance include ST, Applied Materials, Dispelix, Mega1, and Osram, in addition to ST. The Alliance is focused on meeting the technical challenges required for all-day wearable smart glasses. The eyewear will balance a small, light-weight ...",Electroncs
6,Neural net accelerated MCU,https://www.electronicsweekly.com/news/business/758221-2020-10/,8th October 2020,"Maxim has brought out a neural network accelerated MCU which claims to move AI to the edge without performance compromises in battery-powered IoT devices. The MAX7800 is claimed to executeAI inferences at less that 1/100th the energy of software solutions dramatically improves run-time for battery-powered AI applications, while enabling complex AI use cases. These power improvements are claimed to come ...",Electroncs
7,Viavi enhances MAP-300 optical test platform,https://www.electronicsweekly.com/news/business/viavi-enhances-map-300-optical-test-platform-2020-10/,8th October 2020,"Viavi Solutions has introduced new test and measurement offerings for optical lab, production and manufacturing environments, enhancing the industry’s most complete line of photonic test modules.  As optical network data rates per wavelength are reaching limits, component and network equipment manufacturers (NEMs) are challenged to push the boundaries of innovation in infrastructure design. New solutions from VIAVI are critical for engineers that ...",Electroncs
8,"Module integrates Bluetooth Mesh, Zigbee and Thread protocols",https://www.electronicsweekly.com/news/business/758153-2020-10/,8th October 2020,"Insight SIP is launching a module with Bluetooth Mesh, Zigbee and Thread protocols to enable multimode networks in Smart Lighting/Smart Building applications. The module – designated 1907-HT RF – also supports BLE direction finding. Contained in an 8x8x1 mm package with integrated antenna, the module  is based on the nRF52833 Nordic Semiconductor 2.4GHz wireless System on a Chip (SoC) integrating ...",Electroncs
9,Big bug boost for mobile content revenue,https://www.electronicsweekly.com/news/business/big-bug-boost-mobile-content-revenue-2020-10/,8th October 2020,"The coronavirus will boost mobile content revenue by 28% in 2020 according to Strategy Analytics latest report “Global Mobile Media Forecast: 2015-2025.” Stay-at-home guidance issued by governments as result of the COVID-19 pandemic has stimulated an increase in spending within mobile games and mobile apps, as consumers have been forced to shift their behavior from offline activities to online. Over ...",Electroncs
