id,url,title,headlines,objective_summary,level,image,instructors,publish_date,last_update_date
950390,https://udemy.com/course/machinelearning/,Machine Learning A-Z™: Hands-On Python & R In Data Science,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,"['Master Machine Learning on Python & R', 'Have a great intuition of many Machine Learning models', 'Make accurate predictions']",All Levels,https://img-a.udemycdn.com/course/480x270/950390_270f_3.jpg,"['Kirill Eremenko', 'Hadelin de Ponteves', 'SuperDataScience Team', 'SuperDataScience Support']",2016-09-13,2020-06-17
903744,https://udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!","['Use Python for Data Science and Machine Learning', 'Use Spark for Big Data Analysis', 'Implement Machine Learning Algorithms']",All Levels,https://img-a.udemycdn.com/course/480x270/903744_8eb2.jpg,['Jose Portilla'],2016-09-18,2020-05-03
1754098,https://udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,The Data Science Course 2020: Complete Data Science Bootcamp,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning","['The course provides the entire toolbox you need to become a data scientist', 'Fill up your resume with in demand data science skills: Statistical analysis, Python programming with NumPy, pandas, matplotlib, and Seaborn, Advanced statistical analysis, Tableau, Machine Learning with stats models and scikit-learn, Deep learning with TensorFlow', 'Impress interviewers by showing an understanding of the data science field']",All Levels,https://img-a.udemycdn.com/course/480x270/1754098_e0df_3.jpg,"['365 Careers', '365 Careers Team']",2018-06-21,2020-06-24
765242,https://udemy.com/course/r-programming/,R Programming A-Z™: R For Data Science With Real Exercises!,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2","['Learn to program in R at a good level', 'Learn how to use R Studio', 'Learn the core principles of programming']",All Levels,https://img-a.udemycdn.com/course/480x270/765242_2578.jpg,"['Kirill Eremenko', 'SuperDataScience Team']",2016-02-23,2020-07-06
1151632,https://udemy.com/course/deeplearning/,Deep Learning A-Z™: Hands-On Artificial Neural Networks,Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included.,"['Understand the intuition behind Artificial Neural Networks', 'Apply Artificial Neural Networks in practice', 'Understand the intuition behind Convolutional Neural Networks']",All Levels,https://img-a.udemycdn.com/course/480x270/1151632_de9b.jpg,"['Kirill Eremenko', 'Hadelin de Ponteves', 'SuperDataScience Team']",2017-03-28,2020-06-17
513244,https://udemy.com/course/datascience/,Data Science A-Z™: Real-Life Data Science Exercises Included,"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!","['Successfully perform all steps in a complex Data Science project', 'Create Basic Tableau Visualisations', 'Perform Data Mining in Tableau']",All Levels,https://img-a.udemycdn.com/course/480x270/513244_b831_2.jpg,"['Kirill Eremenko', 'SuperDataScience Team']",2015-08-18,2020-07-06
671576,https://udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,"Machine Learning, Data Science and Deep Learning with Python","Complete hands-on machine learning tutorial with data science, Tensorflow, artificial intelligence, and neural networks","['Build artificial neural networks with Tensorflow and Keras', 'Classify images, data, and sentiments using deep learning', 'Make predictions using linear regression, polynomial regression, and multivariate regression']",Beginner Level,https://img-a.udemycdn.com/course/480x270/671576_a272_4.jpg,"['Sundog Education by Frank Kane', 'Frank Kane']",2016-02-02,2020-07-05
913448,https://udemy.com/course/python-coding/,Python A-Z™: Python For Data Science With Real Exercises!,"Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization","['Learn to program in Python at a good level', 'Learn how to code in Jupiter Notebooks', 'Learn the core principles of programming']",All Levels,https://img-a.udemycdn.com/course/480x270/913448_e6e2.jpg,"['Kirill Eremenko', 'SuperDataScience Team']",2016-07-26,2020-06-17
1298780,https://udemy.com/course/statistics-for-data-science-and-business-analysis/,Statistics for Data Science and Business Analysis,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis","['Understand the fundamentals of statistics', 'Learn how to work with different types of data', 'How to plot different types of data']",All Levels,https://img-a.udemycdn.com/course/480x270/1298780_731f_4.jpg,"['365 Careers', '365 Careers Team']",2017-07-28,2020-06-24
1219332,https://udemy.com/course/artificial-intelligence-az/,Artificial Intelligence A-Z™: Learn How To Build An AI,"Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications!","['Build an AI', 'Understand the theory behind Artificial Intelligence', 'Make a virtual Self Driving Car']",All Levels,https://img-a.udemycdn.com/course/480x270/1219332_bdd7.jpg,"['Hadelin de Ponteves', 'Kirill Eremenko', 'SuperDataScience Team', 'SuperDataScience Support']",2017-05-26,2020-07-06
1326292,https://udemy.com/course/complete-guide-to-tensorflow-for-deep-learning-with-python/,Complete Guide to TensorFlow for Deep Learning with Python,Learn how to use Google's Deep Learning Framework - TensorFlow with Python! Solve problems with cutting edge techniques!,"['Understand how Neural Networks Work', 'Build your own Neural Network from Scratch with Python', 'Use TensorFlow for Classification and Regression Tasks']",Intermediate Level,https://img-a.udemycdn.com/course/480x270/1326292_4dcf.jpg,['Jose Portilla'],2017-09-26,2020-04-16
821726,https://udemy.com/course/data-science-and-machine-learning-bootcamp-with-r/,Data Science and Machine Learning Bootcamp with R,Learn how to use the R programming language for data science and machine learning and data visualization!,"['Program in R', 'Use R for Data Analysis', 'Create Data Visualizations']",All Levels,https://img-a.udemycdn.com/course/480x270/821726_8071.jpg,['Jose Portilla'],2016-07-14,2019-09-04
892806,https://udemy.com/course/apache-spark-with-scala-hands-on-with-big-data/,Apache Spark with Scala - Hands On with Big Data!,"Dive right in with 20+  hands-on examples of analyzing large data sets with Apache Spark, on your desktop or on Hadoop!","['Frame big data analysis problems as Apache Spark scripts', 'Develop distributed code using the Scala programming language', 'Optimize Spark jobs through partitioning, caching, and other techniques']",All Levels,https://img-a.udemycdn.com/course/480x270/892806_514e_3.jpg,"['Sundog Education by Frank Kane', 'Frank Kane']",2016-07-21,2020-03-17
622414,https://udemy.com/course/taming-big-data-with-apache-spark-hands-on/,Taming Big Data with Apache Spark and Python - Hands On!,"Dive right in with 15+  hands-on examples of analyzing large data sets with Apache Spark, on your desktop or on Hadoop!","['Use DataFrames and Structured Streaming in Spark 3', 'Frame big data analysis problems as Spark problems', ""Use Amazon's Elastic MapReduce service to run your job on a cluster with Hadoop YARN""]",All Levels,https://img-a.udemycdn.com/course/480x270/622414_03f5_4.jpg,"['Sundog Education by Frank Kane', 'Frank Kane']",2015-10-06,2020-03-17
753140,https://udemy.com/course/data-science-natural-language-processing-in-python/,Data Science: Natural Language Processing (NLP) in Python,"Applications: decrypting ciphers, spam detection, sentiment analysis, article spinners, and latent semantic analysis.","['Write your own cipher decryption algorithm using genetic algorithms and language modeling with Markov models', 'Write your own spam detection code in Python', 'Write your own sentiment analysis code in Python']",All Levels,https://img-a.udemycdn.com/course/480x270/753140_f3f3_2.jpg,['Lazy Programmer Inc.'],2016-02-07,2020-06-24
1080408,https://udemy.com/course/artificial-intelligence-reinforcement-learning-in-python/,Artificial Intelligence: Reinforcement Learning in Python,"Complete guide to Reinforcement Learning, with Stock Trading and Online Advertising Applications","['Apply gradient-based supervised machine learning methods to reinforcement learning', 'Understand reinforcement learning on a technical level', 'Understand the relationship between reinforcement learning and psychology']",Intermediate Level,https://img-a.udemycdn.com/course/480x270/1080408_2645_3.jpg,"['Lazy Programmer Team', 'Lazy Programmer Inc.']",2017-01-27,2020-06-04
1175200,https://udemy.com/course/data-statistics/,Statistics for Business Analytics and Data Science A-Z™,"Learn The Core Stats For A Data Science Career. Master Statistical Significance, Confidence Intervals And Much More!","['Understand what a Normal Distribution is', 'Understand standard deviations', 'Explain the difference between continuous and discrete variables']",All Levels,https://img-a.udemycdn.com/course/480x270/1175200_2723.jpg,"['Kirill Eremenko', 'SuperDataScience Team']",2017-04-25,2020-06-16
713104,https://udemy.com/course/data-science-deep-learning-in-python/,Data Science: Deep Learning in Python,"The MOST in-depth look at neural network theory, and how to code one with pure Python and Tensorflow","['Learn how Deep Learning REALLY works (not just some diagrams and magical black box code)', 'Learn how a neural network is built from basic building blocks (the neuron)', 'Code a neural network from scratch in Python and numpy']",Intermediate Level,https://img-a.udemycdn.com/course/480x270/713104_d4cb.jpg,['Lazy Programmer Inc.'],2016-01-04,2020-06-04
860148,https://udemy.com/course/r-analytics/,R Programming: Advanced Analytics In R For Data Science,"Take Your R & R Studio Skills To The Next Level. Data Analytics, Data Science, Statistical Analysis in Business, GGPlot2","['Perform Data Preparation in R', 'Identify missing records in dataframes', 'Locate missing data in your dataframes']",Intermediate Level,https://img-a.udemycdn.com/course/480x270/860148_4f31.jpg,"['Kirill Eremenko', 'SuperDataScience Team']",2016-05-26,2020-07-06
918390,https://udemy.com/course/natural-language-processing-with-deep-learning-in-python/,Natural Language Processing with Deep Learning in Python,"Complete guide on deriving and implementing word2vec, GloVe, word embeddings, and sentiment analysis with recursive nets","['Understand and implement word2vec', 'Understand the CBOW method in word2vec', 'Understand the skip-gram method in word2vec']",Expert Level,https://img-a.udemycdn.com/course/480x270/918390_02a6.jpg,['Lazy Programmer Inc.'],2016-08-09,2020-06-04
2058283,https://udemy.com/course/nlp-natural-language-processing-with-python/,NLP - Natural Language Processing with Python,"Learn to use Machine Learning, Spacy, NLTK, SciKit-Learn, Deep Learning, and more to conduct Natural Language Processing","['Learn to work with Text Files with Python', 'Learn how to work with PDF files in Python', 'Utilize Regular Expressions for pattern searching in text']",Intermediate Level,https://img-a.udemycdn.com/course/480x270/2058283_214d.jpg,['Jose Portilla'],2018-12-18,2019-09-04
971154,https://udemy.com/course/machine-learning-for-data-science/,Introduction to Machine Learning for Data Science,"A primer on Machine Learning for Data Science.  Revealed for everyday people, by the Backyard Data Scientist.","['Genuinely understand what Computer Science, Algorithms, Programming, Data, Big Data, Artificial Intelligence, Machine Learning, and Data Science is.', 'To understand how these different domains fit together, how they are different, and how to avoid the marketing fluff. ', 'The Impacts Machine Learning and Data Science is having on society.']",Beginner Level,https://img-a.udemycdn.com/course/480x270/971154_6799_2.jpg,['David Valentine'],2016-11-11,2019-03-29
1357844,https://udemy.com/course/computer-vision-a-z/,"Deep Learning and Computer Vision A-Z™: OpenCV, SSD & GANs",Become a Wizard of all the latest Computer Vision tools that exist out there. Detect anything and create powerful apps.,"['Have a toolbox of the most powerful Computer Vision models', 'Understand the theory behind Computer Vision', 'Master OpenCV']",All Levels,https://img-a.udemycdn.com/course/480x270/1357844_25b2.jpg,"['Hadelin de Ponteves', 'Kirill Eremenko', 'SuperDataScience Team']",2017-09-26,2020-06-17
1575562,https://udemy.com/course/interactive-python-dashboards-with-plotly-and-dash/,Interactive Python Dashboards with Plotly and Dash,"Learn how to create interactive plots and intelligent dashboards with Plotly, Python, and the Dash library!","['Learn about Plotly to create plots like Bar Charts, Line Charts, Scatter Plots, Heat Maps, and more!', ""Create Layouts with Plotly's Dash library."", 'Use Dash to create interactive components with Plotly.']",Intermediate Level,https://img-a.udemycdn.com/course/480x270/1575562_f44d_2.jpg,['Jose Portilla'],2018-04-26,2019-09-04
556954,https://udemy.com/course/data-science-linear-regression-in-python/,Deep Learning Prerequisites: Linear Regression in Python,Data science: Learn linear regression from scratch and build your own working program in Python for data analysis.,"['Derive and solve a linear regression model, and apply it appropriately to data science problems', 'Program your own version of a linear regression model in Python']",All Levels,https://img-a.udemycdn.com/course/480x270/556954_8e95_2.jpg,['Lazy Programmer Inc.'],2015-09-02,2020-06-04
977062,https://udemy.com/course/scala-and-spark-for-big-data-and-machine-learning/,Scala and Spark for Big Data and Machine Learning,"Learn the latest Big Data technology - Spark and Scala, including Spark 2.0 DataFrames!","['Use Scala for Programming', 'Use Spark 2.0 DataFrames to read and manipulate data', 'Use Spark to Process Large Datasets']",All Levels,https://img-a.udemycdn.com/course/480x270/977062_019b_2.jpg,['Jose Portilla'],2016-11-14,2019-09-04
2511476,https://udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,Complete Machine Learning and Data Science: Zero to Mastery,"Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!","['Become a Data Scientist and get hired', 'Master Machine Learning and use it on the job', 'Deep Learning, Transfer Learning and Neural Networks using the latest Tensorflow 2.0']",All Levels,https://img-a.udemycdn.com/course/480x270/2511476_4e38_3.jpg,"['Andrei Neagoie', 'Daniel Bourke']",2020-01-16,2020-07-02
825684,https://udemy.com/course/cluster-analysis-unsupervised-machine-learning-python/,Cluster Analysis and Unsupervised Machine Learning in Python,"Data science techniques for pattern recognition, data mining, k-means clustering, and hierarchical clustering, and KDE.","['Understand the regular K-Means algorithm', 'Understand and enumerate the disadvantages of K-Means Clustering', 'Understand the soft or fuzzy K-Means Clustering algorithm']",Beginner Level,https://img-a.udemycdn.com/course/480x270/825684_ee00.jpg,['Lazy Programmer Inc.'],2016-04-19,2020-06-04
1011712,https://udemy.com/course/bayesian-machine-learning-in-python-ab-testing/,Bayesian Machine Learning in Python: A/B Testing,"Data Science, Machine Learning, and Data Analytics Techniques for Marketing, Digital Media, Online Advertising, and More","['Use adaptive algorithms to improve A/B testing performance', 'Understand the difference between Bayesian and frequentist statistics', 'Apply Bayesian methods to A/B testing']",All Levels,https://img-a.udemycdn.com/course/480x270/1011712_a062.jpg,['Lazy Programmer Inc.'],2016-11-17,2020-07-03
1036342,https://udemy.com/course/sqldatabases/,SQL & Database Design A-Z™: Learn MS SQL Server + PostgreSQL,Learn Both SQL Server & PostgreSQL By Doing. Enhance Your Data Analytics Career With Real World Data Science Exercises,"['Create basic SQL Queries', 'Create advanced SQL Queries', 'Create Left, Right, Inner and Full Outer joins']",All Levels,https://img-a.udemycdn.com/course/480x270/1036342_024e.jpg,"['Kirill Eremenko', 'Ilya Eremenko', 'SuperDataScience Team']",2016-12-15,2020-06-16
1153742,https://udemy.com/course/deep-reinforcement-learning-in-python/,Advanced AI: Deep Reinforcement Learning in Python,The Complete Guide to Mastering Artificial Intelligence using Deep Learning and Neural Networks,"['Build various deep learning agents (including DQN and A3C)', 'Apply a variety of advanced reinforcement learning algorithms to any problem', 'Q-Learning with Deep Neural Networks']",Expert Level,https://img-a.udemycdn.com/course/480x270/1153742_e649.jpg,"['Lazy Programmer Team', 'Lazy Programmer Inc.']",2017-03-24,2020-07-05
1673166,https://udemy.com/course/probability-and-statistics-for-business-and-data-science/,Probability and Statistics for Business and Data Science,Learn how to apply probability and statistics to real data science and business applications!,"['Understand the basics of probability', 'Be able to implement basic statistics', 'Understand how to use various statistical distributions']",All Levels,https://img-a.udemycdn.com/course/480x270/1673166_c2a0_4.jpg,['Jose Portilla'],2018-08-09,2019-09-04
659368,https://udemy.com/course/data-science-logistic-regression-in-python/,Deep Learning Prerequisites: Logistic Regression in Python,Data science techniques for professionals and students - learn the theory behind logistic regression and code in Python,"['program logistic regression from scratch in Python', 'describe how logistic regression is useful in data science', 'derive the error and update rule for logistic regression']",All Levels,https://img-a.udemycdn.com/course/480x270/659368_e64f.jpg,['Lazy Programmer Inc.'],2015-11-10,2020-06-04
1533864,https://udemy.com/course/advanced-computer-vision/,"Deep Learning: Advanced Computer Vision (GANs, SSD, +More!)","VGG, ResNet, Inception, SSD, RetinaNet, Neural Style Transfer, GANs +More in Tensorflow, Keras, and Python","['Understand and apply transfer learning', 'Understand and use state-of-the-art convolutional neural nets such as VGG, ResNet and Inception', 'Understand and use object detection algorithms like SSD']",Intermediate Level,https://img-a.udemycdn.com/course/480x270/1533864_a443.jpg,['Lazy Programmer Inc.'],2018-02-16,2020-06-04
807904,https://udemy.com/course/deep-learning-convolutional-neural-networks-theano-tensorflow/,Deep Learning: Convolutional Neural Networks in Python,Computer Vision and Data Science and Machine Learning combined! In Theano and TensorFlow,"['Understand convolution', 'Understand how convolution can be applied to audio effects', 'Understand how convolution can be applied to image effects']",Intermediate Level,https://img-a.udemycdn.com/course/480x270/807904_7108.jpg,['Lazy Programmer Inc.'],2016-04-01,2020-06-04
2430492,https://udemy.com/course/deep-learning-tensorflow-2/,Tensorflow 2.0: Deep Learning and Artificial Intelligence,"Neural Networks for Computer Vision, Time Series Forecasting, NLP, GANs, Reinforcement Learning, and More!","['Artificial Neural Networks (ANNs) / Deep Neural Networks (DNNs)', 'Predict Stock Returns', 'Time Series Forecasting']",All Levels,https://img-a.udemycdn.com/course/480x270/2430492_5cdb_5.jpg,"['Lazy Programmer Inc.', 'Lazy Programmer Team']",2019-08-12,2020-06-04
887814,https://udemy.com/course/deep-learning-recurrent-neural-networks-in-python/,Deep Learning: Recurrent Neural Networks in Python,"GRU, LSTM, + more modern deep learning, machine learning, and data science for sequences","['Understand the simple recurrent unit (Elman unit)', 'Understand the GRU (gated recurrent unit)', 'Understand the LSTM (long short-term memory unit)']",All Levels,https://img-a.udemycdn.com/course/480x270/887814_cf2e_2.jpg,['Lazy Programmer Inc.'],2016-07-14,2020-06-04
831458,https://udemy.com/course/taming-big-data-with-spark-streaming-hands-on/,Streaming Big Data with Spark Streaming & Scala - Hands On!,"Hands-on examples of processing massive streams of data - in real time, on a cluster - with Apache Spark Streaming.","['Process massive streams of real-time data using Spark Streaming', 'Integrate Spark Streaming with data sources, including Kafka, Flume, and Kinesis', ""Use Spark 2's Structured Streaming API""]",All Levels,https://img-a.udemycdn.com/course/480x270/831458_009d_4.jpg,"['Sundog Education by Frank Kane', 'Frank Kane']",2016-05-03,2020-03-17
872834,https://udemy.com/course/unsupervised-machine-learning-hidden-markov-models-in-python/,Unsupervised Machine Learning Hidden Markov Models in Python,"HMMs for stock price analysis, language modeling, web analytics, biology, and PageRank.","['Understand and enumerate the various applications of Markov Models and Hidden Markov Models', 'Understand how Markov Models work', 'Write a Markov Model in code']",All Levels,https://img-a.udemycdn.com/course/480x270/872834_f01d.jpg,['Lazy Programmer Inc.'],2016-06-13,2020-06-04
1140660,https://udemy.com/course/deep-learning-with-python-and-keras/,Deep Learning with Python and Keras,"Understand and build Deep Learning models for images, text  and more using Python and Keras","['To describe what Deep Learning is in a simple yet accurate way', 'To explain how deep learning can be used to build predictive models', 'To distinguish which practical applications can benefit from deep learning']",Intermediate Level,https://img-a.udemycdn.com/course/480x270/1140660_7027_4.jpg,"['Data Weekends', 'Jose Portilla', 'Francesco Mosconi']",2017-05-11,2018-12-11
1560148,https://udemy.com/course/applied-deep-learningtm-the-complete-self-driving-car-course/,The Complete Self-Driving Car Course - Applied Deep Learning,"Learn to use Deep Learning, Computer Vision and Machine Learning techniques to Build an Autonomous Car with Python","['Learn to apply Computer Vision and Deep Learning techniques to build automotive-related algorithms', 'Understand, build and train Convolutional Neural Networks with Keras', 'Simulate a fully functional Self-Driving Car with Convolutional Neural Networks and Computer Vision']",All Levels,https://img-a.udemycdn.com/course/480x270/1560148_6483_4.jpg,"['Rayan Slim', 'Amer Sharaf', 'Jad Slim', 'Sarmad Tanveer']",2018-08-20,2020-07-06
1088256,https://udemy.com/course/machine-learning-using-azureml/,A-Z Machine Learning using Azure Machine Learning (AzureML),"Azure ML (Machine Learning): Azure Machine Learning Studio, Machine Learning on cloud, Machine Learning without coding","['Master Data Science and Machine Learning Models using Azure ML.', 'Understand the concepts and intuition of Machine Learning algorithms', 'Build Machine Learning models within minutes']",All Levels,https://img-a.udemycdn.com/course/480x270/1088256_077d.jpg,"['Jitesh Khurkhuriya', ""Jitesh's Data Science & Machine Learning A-Z Team""]",2017-10-10,2020-06-08
2373842,https://udemy.com/course/complete-tensorflow-2-and-keras-deep-learning-bootcamp/,Complete Tensorflow 2 and Keras Deep Learning Bootcamp,Learn to use Python for Deep Learning with Google's latest Tensorflow 2 library and Keras!,"['Learn to use TensorFlow 2.0 for Deep Learning', 'Leverage the Keras API to quickly build models that run on Tensorflow 2', 'Perform Image Classification with Convolutional Neural Networks']",All Levels,https://img-a.udemycdn.com/course/480x270/2373842_a332_2.jpg,['Jose Portilla'],2019-11-20,2020-06-15
1647976,https://udemy.com/course/deep-learning-advanced-nlp/,Deep Learning: Advanced NLP and RNNs,"Natural Language Processing with Sequence-to-sequence (seq2seq), Attention, CNNs, RNNs, and Memory Networks!","['Build a text classification system (can be used for spam detection, sentiment analysis, and similar problems)', 'Build a neural machine translation system (can also be used for chatbots and question answering)', 'Build a sequence-to-sequence (seq2seq) model']",All Levels,https://img-a.udemycdn.com/course/480x270/1647976_0fdf.jpg,['Lazy Programmer Inc.'],2018-05-17,2020-06-20
1382702,https://udemy.com/course/machine-learning-course-with-python/,The Complete Machine Learning Course with Python,"Build a Portfolio of 12 Machine Learning Projects with Python, SVM, Regression, Unsupervised Machine Learning & More!","['Machine Learning Engineers earn on average $166,000 - become an ideal candidate with this course!', 'Solve any problem in your business, job or personal life with powerful Machine Learning models', 'Train machine learning algorithms to predict house prices, identify handwriting, detect cancer cells & more']",All Levels,https://img-a.udemycdn.com/course/480x270/1382702_a351.jpg,"['Codestars by Rob Percival', 'Anthony NG', 'Rob Percival']",2017-11-07,2020-01-20
772462,https://udemy.com/course/data-science-deep-learning-in-theano-tensorflow/,Modern Deep Learning in Python,"Build with modern libraries like Tensorflow, Theano, Keras, PyTorch, CNTK, MXNet. Train faster with GPU on AWS.","['Apply momentum to backpropagation to train neural networks', 'Apply adaptive learning rate procedures like AdaGrad, RMSprop, and Adam to backpropagation to train neural networks', 'Understand the basic building blocks of Theano']",All Levels,https://img-a.udemycdn.com/course/480x270/772462_d385.jpg,['Lazy Programmer Inc.'],2016-02-26,2020-06-04
1562640,https://udemy.com/course/r-programming-for-statistics-and-data-science/,R Programming for Statistics and Data Science 2020,R Programming for Data Science & Data Analysis. Applying R for Statistics and Data Visualization with GGplot2 in R,"['Learn the fundamentals of programming in R', 'Work with R’s conditional statements, functions, and loops', 'Build your own functions in R']",All Levels,https://img-a.udemycdn.com/course/480x270/1562640_6c9c_5.jpg,"['365 Careers', '365 Simona (The 365 Team)']",2018-02-22,2020-06-24
257414,https://udemy.com/course/r-level1/,R Level 1 - Data Analytics with R,Use R for Data Analytics and Data Mining,"['this course will show you how the most common types of graphs can be produced with R base', 'you will get a good understanding of functions and loops in R which are very useful programming skills to have', 'you will get the necessary theoretical background for R']",Beginner Level,https://img-a.udemycdn.com/course/480x270/257414_dc4d_2.jpg,['R-Tutorials Training'],2014-07-28,2019-04-04
1955654,https://udemy.com/course/machine-learning-with-javascript/,Machine Learning with Javascript,Master Machine Learning from scratch using Javascript and TensorflowJS with hands-on projects.,"['Assemble machine learning algorithms from scratch!', 'Build interesting applications using Javascript and ML techniques', 'Understand how ML works without relying on mysterious libraries']",Beginner Level,https://img-a.udemycdn.com/course/480x270/1955654_2ed0.jpg,['Stephen Grider'],2018-10-23,2020-07-01
